# see details in the README file of the repository
day_zero	day	experiment	replicate_system	variable	value
2020-10-26	31	F3_50	b	F	73750
2020-10-26	31	F5_50	a	Bs	2440000
2020-10-26	31	F5_50	b	Bs	3590000
2020-10-26	31	F5_50	a	F	80000
2020-10-26	31	F5_50	b	F	82500
2020-10-26	32	F0_50	a	Bs	38400000
2020-10-26	32	F0_50	b	Bs	43900000
2020-10-26	32	F3_50	a	Bs	3960000
2020-10-26	32	F3_50	b	Bs	5720000
2020-10-26	32	F3_50	a	F	73750
2020-10-26	32	F3_50	b	F	71250
2020-10-26	32	F5_50	a	Bs	3690000
2020-10-26	32	F5_50	b	Bs	3710000
2020-10-26	32	F5_50	a	F	81250
2020-10-26	32	F5_50	b	F	87500
2020-10-26	33	F0_50	a	Bs	38800000
2020-10-26	33	F0_50	b	Bs	44200000
2020-10-26	33	F3_50	a	Bs	3870000
2020-10-26	33	F3_50	b	Bs	6140000
2020-10-26	33	F3_50	a	F	76250
2020-10-26	33	F3_50	b	F	73750
2020-10-26	33	F5_50	a	Bs	3530000
2020-10-26	33	F5_50	b	Bs	4010000
2020-10-26	33	F5_50	a	F	82500
2020-10-26	33	F5_50	b	F	83750
2020-10-26	34	F0_50	a	Bs	41600000
2020-10-26	34	F0_50	b	Bs	45200000
2020-10-26	34	F3_50	a	Bs	2610000
2020-10-26	34	F3_50	b	Bs	4160000
2020-10-26	34	F3_50	a	F	75000
2020-10-26	34	F3_50	b	F	76250
2020-10-26	34	F5_50	a	Bs	3940000
2020-10-26	34	F5_50	b	Bs	3580000
2020-10-26	34	F5_50	a	F	78750
2020-10-26	34	F5_50	b	F	81250
2020-10-26	35	F0_50	a	Bs	44900000
2020-10-26	35	F0_50	b	Bs	48800000
2020-10-26	35	F3_50	a	Bs	2490000
2020-10-26	35	F3_50	b	Bs	3530000
2020-10-26	35	F3_50	a	F	76250
2020-10-26	35	F3_50	b	F	86250
2020-10-26	35	F5_50	a	Bs	3850000
2020-10-26	35	F5_50	b	Bs	3180000
2020-10-26	35	F5_50	a	F	81250
2020-10-26	35	F5_50	b	F	87500
2020-10-26	36	F0_50	a	Bs	42400000
2020-10-26	36	F0_50	b	Bs	49700000
2020-10-26	36	F3_50	a	Bs	5160000
2020-10-26	36	F3_50	b	Bs	3520000
2020-10-26	36	F3_50	a	F	67500
2020-10-26	36	F3_50	b	F	68750
2020-10-26	36	F5_50	a	Bs	4800000
2020-10-26	36	F5_50	b	Bs	5310000
2020-10-26	36	F5_50	a	F	67500
2020-10-26	36	F5_50	b	F	71250
2020-10-26	37	F0_50	a	Bs	42500000
2020-10-26	37	F0_50	b	Bs	49200000
2020-10-26	37	F3_50	a	Bs	4850000
2020-10-26	37	F3_50	b	Bs	3110000
2020-10-26	37	F3_50	a	F	73750
2020-10-26	37	F3_50	b	F	76250
2020-10-26	37	F5_50	a	Bs	3490000
2020-10-26	37	F5_50	b	Bs	4900000
2020-10-26	37	F5_50	a	F	76250
2020-10-26	37	F5_50	b	F	78750
2020-10-26	22	F3_50	a	Bf_num	221665
2020-10-26	22	F3_50	b	Bf_num	110833
2020-10-26	22	F5_50	a	Bf_num	325570
2020-10-26	22	F5_50	b	Bf_num	266690
2020-10-26	23	F3_50	a	Bf_num	335960
2020-10-26	23	F3_50	b	Bf_num	107754
2020-10-26	23	F5_50	a	Bf_num	142004
2020-10-26	23	F5_50	b	Bf_num	155858
2020-10-26	24	F3_50	a	Bf_num	256300
